Scenario,Shannon_Change,Capacity_Change,Individuals_Change,Species_Change,Disturbance_Change,Final_Corp_Capital,Final_Corp_Biodiv,Steps_Completed,Comprehensive_Score
Nothing,0.42996089787875824,0.0,31250.0,1.1923999999999997,0.0,100.0,1.0,1000,0.6351584808371429
Exploit,-0.5319108571361573,-4.168800000000001,20639.0,-1.106,18.0,22866.0,0.0,1000,0.0
Restore,0.26651753495108843,1.2395999999999994,34349.0,0.6164000000000001,-6.0,0.0,10.99999999999981,1000,0.6647043880762403
Greenwash,0.42996089787875824,0.0,31250.0,1.1923999999999997,0.0,0.0,100.99999999999854,1000,0.93218818380744
Random,-0.2484051160514738,-0.7448000000000015,29339.0,-0.24880000000000013,2.624,3282.3333333333335,38.36600000000012,1000,0.42222792912609475
